profile floor cycle ticks outcome starts clears pendingMax warningMax activeMax partialFrames attackActorsMax phase charge
bot 1 1 1 victory 1 1 0 0 1 0 0 0 0
bot 1 2 1 victory 1 1 0 0 1 0 0 0 0
bot 8 1 1 victory 1 1 0 0 2 0 0 0 0
bot 8 2 7 victory 1 1 0 0 2 6 0 0 0
bot 9 1 1 victory 1 1 0 0 2 0 0 0 0
bot 9 2 1 victory 1 1 0 0 2 0 0 0 0
bot 10 1 1 victory 1 1 0 0 2 0 0 0 0
bot 10 2 1 victory 1 1 0 0 2 0 0 0 0
bot 11 1 1 victory 1 1 0 0 1 0 0 0 0
bot 11 2 7 victory 1 1 0 0 1 0 0 0 0
bot 12 1 1 victory 1 1 0 0 2 0 0 0 0
bot 12 2 7 victory 1 1 0 0 2 6 0 0 0
bot 13 1 1 victory 1 1 0 0 2 0 0 0 0
bot 13 2 7 victory 1 1 0 0 2 6 0 0 0
bot 14 1 7 victory 1 1 0 0 3 6 1 1 1
bot 14 2 13 victory 1 1 0 0 3 12 1 2 2
bot 32 1 79 victory 1 1 0 0 3 78 1 2 2
bot 32 2 115 victory 1 1 0 0 3 114 1 2 3
bot 42 1 85 victory 1 1 0 0 3 66 1 2 3
bot 42 2 97 victory 1 1 0 0 3 78 1 2 3
bot 49 1 311 defeat 1 0 0 0 3 275 2 2 2
bot 49 2 292 defeat 1 0 0 0 3 244 2 2 8
singleTarget 8 1 13 victory 1 1 0 0 2 6 0 0 0
singleTarget 8 2 19 victory 1 1 0 0 2 6 0 0 0
singleTarget 9 1 13 victory 1 1 0 0 2 6 0 0 0
singleTarget 9 2 13 victory 1 1 0 0 2 6 0 0 0
singleTarget 10 1 13 victory 1 1 0 0 2 6 0 0 0
singleTarget 10 2 13 victory 1 1 0 0 2 6 0 0 0
singleTarget 11 1 7 victory 1 1 0 0 1 0 0 0 0
singleTarget 11 2 13 victory 1 1 0 0 1 0 0 0 0
singleTarget 12 1 13 victory 1 1 0 0 2 6 0 0 0
singleTarget 12 2 19 victory 1 1 0 0 2 6 0 0 0
singleTarget 13 1 19 victory 1 1 0 0 2 12 0 0 0
singleTarget 13 2 19 victory 1 1 0 0 2 12 0 0 0
singleTarget 14 1 25 victory 1 1 0 0 3 12 1 1 1
singleTarget 14 2 31 victory 1 1 0 0 3 12 1 2 2
pressure 8 1 601 victory 1 1 0 0 2 0 2 0 0
pressure 8 2 601 victory 1 1 0 0 2 0 2 0 0
pressure 9 1 601 victory 1 1 0 0 2 0 2 0 0
pressure 9 2 601 victory 1 1 0 0 2 0 2 0 0
pressure 10 1 601 victory 1 1 0 0 2 0 2 0 0
pressure 10 2 601 victory 1 1 0 0 2 0 2 0 0
pressure 11 1 601 victory 1 1 0 0 1 0 1 0 0
pressure 11 2 601 victory 1 1 0 0 1 0 1 0 13
pressure 12 1 601 victory 1 1 0 0 2 0 2 0 0
pressure 12 2 601 victory 1 1 0 0 2 0 2 0 0
pressure 13 1 601 victory 1 1 0 0 2 0 2 0 0
pressure 13 2 607 victory 1 1 0 0 2 6 2 0 0
pressure 14 1 607 victory 1 1 0 0 3 6 2 1 1
pressure 14 2 613 victory 1 1 0 0 3 12 2 2 15
defeat 8 1 37 defeat 1 0 0 0 2 0 2 0 0
defeat 8 2 37 defeat 1 0 0 0 2 0 2 0 0
defeat 11 1 36 defeat 1 0 0 0 1 0 1 0 0
defeat 11 2 39 defeat 1 0 0 0 1 0 1 0 1
defeat 14 1 36 defeat 1 0 0 0 3 0 1 0 0
defeat 14 2 36 defeat 1 0 0 0 3 0 1 0 0
bossMechanics 11 1 13 victory 1 1 0 0 1 0 0 0 0
bossMechanics 11 2 13 victory 1 1 0 0 1 0 0 0 0
bossMechanics 14 1 31 victory 1 1 0 0 3 12 1 2 2
bossMechanics 14 2 31 victory 1 1 0 0 3 12 1 2 2
