file	baseline_dimensions	baseline_format	result_dimensions	result_format	encode_setting	dimension_match	format_match	after_bytes	after_sha256
battle_frontier.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	150820	e0a16ac7ab48fc1bc1acb232c43a809dd431d8c9aa38f87acbcadeba4fdfafc8
battle_dock.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	138146	e9eeaca290acae31ed6e48b846d6e6a1ad3e4cbafd0c70ade021c526ba031f32
battle_escortroad.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	91228	220c520a2eb058c714a2775851cab1f8f03b71abfa1cb66f6f7309e2a17dc5da
battle_teahouse.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	187322	37d423c3aeb7207c15c79c898bd3b4c09752c9e8deb6a5fda2e972920b74ec80
battle_temple.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	182652	0723729d09ef100196807373c75aa59351fd80e8433bccedac6271f6d16c49c4
chapter_02_cover.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	117336	d709694c5335b98edcd4fa23c836ec67171d12697da2f4f7cabe69472a5eb035
chapter_04_cover.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	109306	f96bd495a21d192615d96fbde762044c58903fad769fa774607cece7ffb37128
chapter_06_cover.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	108344	8642cfd3068392b9628549dbc09c327d09d9f6a160cf7f8d23f6f95d1f18278f
narrative_stage_01_02.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	115938	b8370be330c3a18504a4e1f4ef7631a982da3fb5aa6d3d64163fb8d58ec6c993
narrative_stage_01_03.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	108682	2df1e4f173ce8fcf9530d551c9bfa8b45076152d8d61ea5ef422104b5f95a50b
narrative_stage_01_05.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	88688	fbacfc950815ac99c3b2ac28bc431a2cecc60f630d66a0831f58ff261505663e
narrative_stage_02_01.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	155172	dbbe387c4eead4c481bdff05f0650afb02da8d303a168c4abb97de8d43eb27ff
narrative_stage_02_02.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	104028	acd796470d800ff002ed54dd114dfb15992efde6cee8d808da54f2f8b19264c1
narrative_stage_02_03.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	96506	f5993b38ff087862ca2dd8c059796838d089a9834adab9d318ee837a2370a128
narrative_stage_02_05.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	62702	32cbe8ef8381e127aef019b32cd8e5a517e635328a548be3c146974546812271
narrative_stage_03_01.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	146690	14d3d61bdcebe198960eb29534a9094a7a5bb5ea3fb58e7e1d9ddb52ee597311
narrative_stage_03_02.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	165632	75b25fa14393a97d88d3e551b73a01cbad27399552e3d0efa4019559a6b23060
narrative_stage_04_01.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	149856	7034f4610b2c472ef003e96b7c6385ed6cd88937b7a08c0a42ce330dc8af9c7d
narrative_stage_04_04.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	142384	46b8cb28a4fc27bad677fb1e57187483c095a56501de11c255bd4c135c2b858a
narrative_stage_06_03.png	1456x816	WEBP	1456x816	WEBP	cwebp q80	PASS	PASS	131820	b2f8f15e45ab34e8cde20673d76cff4a3ba690ac171fb36ec2b10f947ff7c84d
